chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,CC,methode_BC,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,getOutlinePaint,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setOutlinePaint_Paint,5,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,getOutlineStroke,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setOutlineStroke_Stroke,5,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,isOutlineVisible,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setOutlineVisible_boolean,4,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_rendererIndex,_info,,,NaN,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,equals_Object,46,,,15,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,hashCode,15,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,clone,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,writeObject_ObjectOutputStream,7,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,readObject_ObjectInputStream,1,,,1,,,
javaProjects\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation,XYTitleAnnotation_double_double_Title,3,,,1,,,
javaProjects\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation,XYTitleAnnotation_double_double_Title_RectangleAnchor,,,NaN,,,,
javaProjects\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation,getCoordinateType,3,,,1,,,
javaProjects\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation,getX,3,,,1,,,
javaProjects\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation,getY,3,,,1,,,
javaProjects\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation,getTitle,3,,,1,,,
